"","Id","Fecha","Forófito","Latitud","Longitud","Código.SAU","Familia.hospedero","Especie.hospedero","CAP.cm.","Altura..m.","Sitio.de.colecta","Codigo.sitio","Contaminación","Contaminación..PLI.","Distancia.a.la.vía..m.","Tipo.de.vía","Entorno","Id.epifita","Grupo.epifita","Especie.epifita","Especie.código","Altura..m..1","Estrato","Estrato.código","Orientacion","Tamaño..cm","Longitud..cm.","Fenologia","Colectado","Código.muestra","Peso..g.","Susceptibilidad..X.","X.normal","observaciones","X__id"
"11",91,45177,"AM17","6.21313107","-75.57726042","00114210040087","Bignoniaceae","Kigelia africana","117.3","6","Poblado","Po","Alta","5","3","Flujo alto","MetroCentro comercialQuebrada","91","","Pleopeltis macrocarpa","Pl","4.3","4-6 m","E3","Expuesta a contaminación","180","17","Fértil","","PoE3Pl91","8.46","","","","TE8yZSZkZXJ4RjQ3cmMpJiF2WDY"
"12",188,45207,"AM31","6.25553668","-75.5771687","00111010030108","Anacardiaceae","Schinus terebinthifolia","203.6","10","CarlosE","CE","Alta","4.7","3","Flujo alto","Residencias","188B","","Rhipsalis baccifera","Rh","4.1","4-6 m","E3","Expuesta a contaminación","10","50","","","CEE3Rh188B","","","","Vieja (B)","T2xDQiUqQFBLT24-ZWldcWIrZzI"
"13",69,45177,"AM13","6.21301898","-75.57683944","00114210040099","Bignoniaceae","Kigelia africana","138","8","Poblado","Po","Alta","5","10","Flujo alto","MetroCentro comercialQuebrada","69","","Tillandsia recurvata","Ti","5","4-6 m","E3","Expuesta a contaminación","3","7","Fértil","","PoE3Ti69","","","","","KFlkMXg4cnpRZzwqdW8meDxAM2M"
"14",107,45177,"AM17","6.21313107","-75.57726042","00114210040087","Bignoniaceae","Kigelia africana","117.3","6","Poblado","Po","Alta","5","3","Flujo alto","MetroCentro comercialQuebrada","107","","Pleopeltis macrocarpa","Pl","6.6","6-8 m","E4","Expuesta a contaminación","220","18","Fértil","","PoE4Pl107","","","","","VVRPTyFnMEJiXWJaYkItQnJTVA"
"15",58,45177,"AM11","6.21303589","-75.57690408","00114210040098","Bignoniaceae","Kigelia africana","140.2","8","Poblado","Po","Alta","5","11.5","Flujo alto","MetroCentro comercialQuebrada","58","","Rhipsalis baccifera","Rh","7","6-8 m","E4","Expuesta a contaminación","10","80","","","PoE4Rh58","","","","Joven (A)","WGVQUVY6QnRzJkI6aSpncz5qSVo"
"16",56,45177,"AM11","6.21303589","-75.57690408","00114210040098","Bignoniaceae","Kigelia africana","140.2","8","Poblado","Po","Alta","5","11.5","Flujo alto","MetroCentro comercialQuebrada","56","","Tillandsia recurvata","Ti","6","6-8 m","E4","Expuesta a contaminación","3","8","Fértil","","PoE4Ti56","","","","","RHhvXWxSWCVjcyEwcTNwWEopW3U"
"17",321,45190,"AM38","6.277398935795121","-75.6353512429939","00160210000026","Fabaceae","Zygia longifolia","112.8","5","San Cristobal","SC","Control","2","2","Flujo bajo","Residencias","321","liquen","Flavoparmelia carperata","Li","-","0-2 m ","E1","-","-","-","-","","SCE1Li321","7.79","","","",""
"18",258,45207,"AM39","6.277433696518301","-75.63559294204424","00160210080022","Anacardiaceae","Mangifera indica","113","7.5","San Cristobal","SC","Control","2","10","Flujo bajo","Residencias","258","","Pleopeltis macrocarpa","Pl","1.9","0-2 m ","E1","Expuesta a contaminación","20","15","Infértil","","SCE1Pl258","","","","","UylRb0w7d1Z3dUtUXWNIKzFSUSE"
"19",261,45207,"AM39","6.277433696518301","-75.63559294204424","00160210080022","Anacardiaceae","Mangifera indica","113","7.5","San Cristobal","SC","Control","2","7","Flujo bajo","Residencias","261","","Tillandsia recurvata","Ti","1.98","0-2 m ","E1","No expuesta a contaminación","2","12","Fértil","","SCE1Ti261","","","","","IyhoRnBiNFZMT0VSOlRaQUw8TSg"
"20",318,45238,"AM40","6.3389864","-75.5068394","No se puede ingresar, otro municipio","Fabaceae","Erythrina fusca","213.8","15","Copacabana","CP","Control","2.7","5.5","Flujo bajo","ResidenciasQuebrada","318","briofito","briofito","Br","-","0-2 m ","E1","-","-","-","-","","CPE1Br318","7.77","-5.2297E-06","-6.73063E-07","","TW85QTNYc1M6VWJjTUVEZ2llbko"
